Jun 13 09:31:54 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 134] [Image Capture Start Time: 155.0 seconds]
Jun 13 09:31:55 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 135] [Image Capture Start Time: 156.0 seconds]
Jun 13 09:31:56 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 136] [Image Capture Start Time: 157.0 seconds]
Jun 13 09:31:57 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 137] [Image Capture Start Time: 158.0 seconds]
Jun 13 09:31:58 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 138] [Image Capture Start Time: 159.0 seconds]
Jun 13 09:31:59 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 139] [Image Capture Start Time: 160.0 seconds]
Jun 13 09:32:00 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 140] [Image Capture Start Time: 161.0 seconds]
Jun 13 09:32:01 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 141] [Image Capture Start Time: 162.0 seconds]
Jun 13 09:32:02 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 142] [Image Capture Start Time: 163.0 seconds]
Jun 13 09:32:03 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 143] [Image Capture Start Time: 164.0 seconds]
Jun 13 09:32:04 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 144] [Image Capture Start Time: 165.0 seconds]
Jun 13 09:32:05 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 145] [Image Capture Start Time: 166.0 seconds]
Jun 13 09:32:06 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 146] [Image Capture Start Time: 167.0 seconds]
Jun 13 09:32:07 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 147] [Image Capture Start Time: 168.0 seconds]
Jun 13 09:32:08 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 148] [Image Capture Start Time: 169.0 seconds]
Jun 13 09:32:09 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 149] [Image Capture Start Time: 170.0 seconds]
Jun 13 09:32:10 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 150] [Image Capture Start Time: 171.0 seconds]
Jun 13 09:32:11 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 151] [Image Capture Start Time: 172.0 seconds]
Jun 13 09:32:12 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 152] [Image Capture Start Time: 173.0 seconds]
Jun 13 09:32:13 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 153] [Image Capture Start Time: 174.0 seconds]
Jun 13 09:32:14 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 154] [Image Capture Start Time: 175.0 seconds]
Jun 13 09:32:15 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 155] [Image Capture Start Time: 176.0 seconds]
Jun 13 09:32:16 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 156] [Image Capture Start Time: 177.0 seconds]
Jun 13 09:32:17 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 157] [Image Capture Start Time: 178.0 seconds]
Jun 13 09:32:18 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 158] [Image Capture Start Time: 179.0 seconds]
Jun 13 09:32:19 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 159] [Image Capture Start Time: 180.0 seconds]
Jun 13 09:32:20 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 160] [Image Capture Start Time: 181.0 seconds]
Jun 13 09:32:21 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 161] [Image Capture Start Time: 182.0 seconds]
Jun 13 09:32:22 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 162] [Image Capture Start Time: 183.0 seconds]
Jun 13 09:32:23 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 163] [Image Capture Start Time: 184.0 seconds]
Jun 13 09:32:24 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 164] [Image Capture Start Time: 185.0 seconds]
Jun 13 09:32:25 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 165] [Image Capture Start Time: 186.0 seconds]
Jun 13 09:32:26 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 166] [Image Capture Start Time: 187.0 seconds]
Jun 13 09:32:27 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 167] [Image Capture Start Time: 188.0 seconds]
Jun 13 09:32:28 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 168] [Image Capture Start Time: 189.0 seconds]
Jun 13 09:32:29 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 169] [Image Capture Start Time: 190.0 seconds]
Jun 13 09:32:30 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 170] [Image Capture Start Time: 191.0 seconds]
Jun 13 09:32:31 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 171] [Image Capture Start Time: 192.0 seconds]
Jun 13 09:32:32 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 172] [Image Capture Start Time: 193.0 seconds]
Jun 13 09:32:33 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 173] [Image Capture Start Time: 194.0 seconds]
Jun 13 09:32:34 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 174] [Image Capture Start Time: 195.0 seconds]
Jun 13 09:32:35 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 175] [Image Capture Start Time: 196.0 seconds]
Jun 13 09:32:36 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 176] [Image Capture Start Time: 197.0 seconds]
Jun 13 09:32:37 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 177] [Image Capture Start Time: 198.0 seconds]
Jun 13 09:32:38 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 178] [Image Capture Start Time: 199.0 seconds]
Jun 13 09:32:39 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 179] [Image Capture Start Time: 200.0 seconds]
Jun 13 09:32:40 raspberrypi capture[51203]: [Course #:4] [Final Project] [Frame Count: 180] [Image Capture Start Time: 201.0 seconds]
